,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,NL
3090,392,270,23,53,8,0,2,21,0,0.0,14,61,0.0,0,31,0.0,9.0,1
3091,267,181,12,23,5,0,1,12,0,1.0,18,101,0.0,2,13,1.0,1.0,1
3092,439,1313,186,355,54,7,10,107,57,33.0,113,193,6.0,6,17,15.0,25.0,1
3093,2,3,0,0,0,0,0,0,0,0.0,1,2,0.0,0,1,0.0,0.0,1
3094,12,13,0,1,0,0,0,2,0,0.0,1,3,0.0,0,2,0.0,0.0,0
3095,8,15,5,4,0,0,0,3,0,0.0,1,2,0.0,0,1,2.0,0.0,0
3096,1137,4045,470,1056,174,37,82,569,18,14.5,390,401,0.0,22,49,0.0,121.0,1
3097,140,471,73,138,23,7,23,72,10,3.0,34,127,4.0,1,0,2.0,7.0,1
3098,5,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
3099,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
3100,34,18,2,2,2,0,0,0,0,0.0,0,8,0.0,0,1,0.0,1.0,1
3101,119,26,2,5,0,0,1,4,0,0.0,2,13,0.0,0,1,0.0,1.0,0
3102,20,17,0,1,0,0,0,1,0,0.0,0,4,0.0,0,0,0.0,0.0,1
3103,316,150,11,17,1,1,0,5,0,0.0,7,59,0.0,2,14,0.0,2.0,1
3104,248,291,23,56,5,0,0,22,0,0.0,16,35,0.0,3,20,0.0,4.0,0
3105,4,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
3106,79,129,17,31,7,0,3,17,1,0.0,3,14,0.0,1,0,2.0,6.0,0
3107,112,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
3108,5,7,0,1,1,0,0,0,0,0.0,0,3,0.0,0,0,0.0,0.0,0
3109,391,1084,93,259,49,8,18,120,2,2.0,87,187,15.0,3,6,1.0,42.0,0
3110,27,50,9,13,3,0,1,7,0,1.0,4,7,0.0,1,0,1.0,1.0,1
3111,746,1945,242,520,110,23,22,303,16,8.0,310,150,0.0,3,11,0.0,48.0,1
3112,1079,3042,243,710,98,23,55,327,3,13.0,387,403,77.0,22,54,27.0,66.0,1
3113,4,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
3114,120,283,28,73,13,2,0,36,2,3.0,12,19,0.0,1,4,0.0,0.0,1
3115,5,5,1,1,0,0,0,1,0,0.0,0,4,0.0,0,0,0.0,0.0,1
3116,139,148,7,15,2,1,2,5,0,0.0,13,72,0.0,0,21,1.0,6.0,1
3117,7,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
3118,2490,9736,1668,2769,522,109,235,1139,408,103.0,1003,1257,38.0,50,57,71.0,93.0,0
3119,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
3120,3,2,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,0.0,0
3121,152,225,12,39,9,3,0,22,1,0.0,20,38,0.0,2,20,0.0,0.0,0
3122,233,300,25,51,4,1,5,26,1,0.0,26,134,0.0,1,20,1.0,2.0,1
3123,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
3124,12,27,3,5,1,0,0,3,0,0.0,3,4,0.0,0,0,0.0,0.0,1
3125,106,219,31,41,5,1,2,14,3,3.0,28,30,0.0,3,6,0.0,1.0,1
3126,727,2338,391,666,125,8,104,360,87,26.0,365,493,28.0,14,4,18.0,51.0,1
3127,11,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
3128,76,230,15,46,3,2,0,10,1,0.5,12,22,0.0,3,5,0.0,8.0,1
3129,247,24,0,2,0,0,0,0,0,0.0,1,8,0.0,0,3,0.0,1.0,0
3130,184,348,41,78,10,0,8,26,15,6.0,38,121,1.0,1,0,3.0,7.0,1
3131,890,2971,363,847,162,26,57,397,13,6.5,187,217,0.0,14,22,0.0,94.0,1
3132,2,6,0,3,0,0,0,1,0,0.0,1,2,0.0,0,0,0.0,0.0,0
3133,50,135,12,33,6,1,0,12,3,1.5,11,7,0.0,0,3,0.0,4.0,1
