retroID,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
ohalg001,0,3,2,0,0,0,0,0,0,0,0
ohlmm001,3,104,29,2,2,0,0,0,2,0,0
ojedm001,116,3292,849,53,9,6,11,0,59,16,0
okril101,0,0,91,20,4,4,2,0,0,0,0
oldib101,54,1711,422,40,8,12,5,36,40,20,0
olivg101,325,8533,2057,172,34,30,54,118,159,83,5
olivj001,934,24608,6059,451,71,59,77,0,670,303,0
olivm001,953,25411,6675,501,84,69,100,0,459,234,0
olsog002,349,9391,2193,169,18,24,17,0,297,128,0
oneih102,0,0,0,0,0,0,0,0,0,0,0
oneim102,0,0,2020,670,77,47,38,0,0,0,0
oneis101,0,0,2899,692,95,70,69,0,0,0,0
onisr101,0,0,1,0,1,0,0,0,0,0,0
oquej001,0,3,1,0,0,0,0,0,0,0,0
orsij101,253,6861,1567,108,31,19,24,59,105,45,3
ortih001,77,2049,436,46,5,2,1,0,44,24,0
ortij001,543,14746,2934,324,45,40,50,0,455,211,0
ortoj001,131,3474,782,85,13,14,4,0,77,51,0
osbob101,0,6,0,0,0,0,0,0,1,0,0
osikk001,266,7295,1781,153,17,19,22,0,190,79,0
ott-e101,451,12342,2482,259,46,26,37,0,309,172,0
ouelp001,6,168,42,3,0,0,0,0,7,2,0
outec101,0,0,98,11,2,1,1,0,0,0,0
owenj001,91,2469,554,55,17,8,11,0,63,40,0
owenj102,0,0,8,1,1,0,0,0,0,0,0
owenl001,116,3172,722,69,16,9,7,0,87,43,0
owenm101,16,516,4527,581,96,93,73,3,5,4,1
pachj001,49,1339,348,20,5,3,7,0,30,4,0
paddt101,0,0,1482,222,41,19,18,0,0,0,0
padgd101,0,0,835,92,37,13,27,0,0,0,0
paepd101,35,1002,218,21,4,2,3,1,24,12,0
pagaj101,0,3,0,0,0,0,0,0,0,0,0
paglj101,705,18328,4139,302,41,50,54,175,293,141,7
pagnm001,27,732,169,14,2,2,2,0,25,8,0
pagnt001,748,20017,4124,389,38,47,32,0,496,293,0
palar001,17,576,154,8,1,1,1,0,14,4,0
palmj101,0,0,44,4,2,2,1,0,0,0,0
pankj001,0,3,0,0,0,0,0,0,0,0,0
pappe001,72,1966,409,37,10,6,4,0,56,22,0
parda001,35,936,206,12,4,1,1,0,37,7,0
parem001,365,9671,2262,196,25,28,25,0,255,133,0
parit101,0,0,17,7,1,0,2,0,0,0,0
parkd002,32,876,165,20,2,4,2,0,29,12,0
