retroID,BAOpp,ERA,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
seayb001,0.2621,4.7012,11,6,261,0,0,0,1,669,216,103,17,90,190,18,9,13,2,964,63,105,12,12,15
sebrb001,0.307,6.0714,15,29,94,52,7,2,1,1100,392,192,37,149,281,8,13,15,7,1626,13,212,22,22,20
secrd101,0.2765,5.8,0,1,28,0,0,0,0,164,54,36,9,26,32,2,1,1,0,241,12,37,0,2,0
seddc001,0.288,6.0467,2,3,38,6,0,0,0,222,85,45,8,28,44,1,3,1,0,333,9,48,1,4,7
sedgd101,0.345,6.4,1,4,21,7,2,0,0,262,108,53,4,38,25,0,3,4,0,408,12,65,0,0,0
sedls001,0.303,6.72,3,5,16,14,0,0,0,253,99,63,16,36,52,2,5,6,0,381,1,64,5,7,6
see-c101,0.28,6,0,0,1,0,0,0,0,18,6,4,0,4,3,0,0,0,0,29,1,8,0,0,0
seelc001,0.3865,9.34,0,1,7,0,0,0,0,29,12,9,3,5,9,1,1,0,0,45,3,9,0,1,0
seelc101,0.2908,6.2375,10,8,75,3,0,0,14,392,118,49,11,51,79,5,6,5,0,544,36,52,8,3,1
segeh101,0.316,8.31,0,0,3,0,0,0,0,13,6,4,1,6,4,0,2,0,0,25,1,4,0,0,0
segoz001,0.341,8.42,1,1,9,1,0,0,0,46,19,14,2,7,6,2,1,0,0,70,2,15,1,3,1
segud101,0.2416,3.7681,92,111,639,171,28,7,71,5423,1656,765,185,786,1298,86,75,18,10,7741,264,867,47,14,27
seguj001,0.3997,10.97,0,2,22,0,0,0,0,93,52,31,4,16,16,1,4,0,3,158,5,39,3,1,4
seibp001,0,0,0,0,2,0,0,0,0,11,0,0,0,5,1,0,0,1,0,18,0,0,0,0,0
seibs101,0.2917,4.5333,43,68,155,118,54,6,4,2646,1016,443,59,311,236,0,9,13,2,3893,21,519,0,0,0
seitk001,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
selea001,0.2864,4.582,148,112,404,352,15,9,0,6459,2413,1102,225,798,1407,39,54,112,2,9534,15,1208,53,90,197
selld101,0.2514,4.542,11,7,90,0,0,0,12,415,146,60,10,67,49,8,13,8,1,623,65,68,8,7,17
selle101,0.31,6.41,4,3,12,6,0,0,0,144,63,35,3,14,7,0,2,2,0,214,3,36,0,0,0
sellj001,0.2805,4.67,13,22,61,51,7,2,0,989,364,182,33,164,226,5,15,9,8,1476,2,200,13,11,33
selmd101,0.2561,5.2333,42,54,307,76,11,6,31,2520,734,338,69,381,681,44,46,27,2,3558,124,375,22,12,5
selms001,0.171,4.35,0,0,10,0,0,0,0,31,6,5,2,6,10,0,0,2,0,44,3,5,1,0,1
sembc101,0.2768,6.792,3,11,99,1,0,0,6,419,149,73,13,73,94,11,11,4,0,635,41,81,1,0,0
semif001,0.2847,4.6567,12,9,47,26,0,0,0,491,171,75,12,75,90,6,3,6,2,722,5,88,9,5,17
sempr101,0.28,5.58,19,21,85,48,14,2,3,1032,360,169,39,136,156,2,10,9,0,1507,18,200,0,0,0
sents101,0.247,4.91,0,0,11,0,0,0,0,66,23,12,5,6,20,1,1,0,0,100,3,16,0,1,0
senza001,0.2777,5.2567,27,22,84,58,0,0,0,1049,383,207,47,134,247,7,3,11,5,1536,5,216,9,11,40
seo-j001,0.2567,4.3171,28,40,118,102,1,0,0,1819,691,310,86,184,340,23,10,17,2,2639,8,341,36,19,52
seoam101,0.352,5.7,1,0,9,2,0,0,0,43,22,9,0,9,9,2,2,0,1,73,1,10,0,0,3
septl001,0.157,5.02,0,2,21,0,0,0,0,43,8,8,3,6,14,1,2,1,0,58,5,8,0,0,0
serad001,0.3015,13.69,15,16,104,33,1,0,1,791,335,177,37,118,127,6,10,8,1,1226,15,191,23,14,25
