retroID,GS,InnOuts,PO,A,E,DP
barnc001,5,188,18,18,2,4
barnc101,0,0,4,25,0,0
barnc102,0,0,1266,307,53,35
barnd001,673,18265,1154,1855,42,380
barnd002,0,362,4,6,1,0
barne101,0,0,10,2,0,1
barne102,0,22,0,1,0,0
barne103,0,0,0,1,0,0
barnf101,0,0,0,13,1,0
barnf102,3,110,0,3,1,0
barng101,0,0,2,15,0,1
barnj001,17,473,44,3,2,2
barnj002,0,442,15,17,7,1
barnj101,0,0,0,0,0,0
barnj102,0,0,104,557,18,34
barnl001,15,461,131,9,0,9
barnl101,0,0,0,3,0,0
barnl102,18,480,40,50,3,13
barnm001,2,750,15,19,0,0
barnr101,4,86,1,5,0,1
barnr103,0,0,20,65,8,8
barnr104,0,0,485,25,25,6
barns001,122,3872,462,187,19,37
barns002,0,83,3,6,0,0
barns101,0,0,6,11,1,0
barnt001,6,168,60,3,1,4
barnt002,0,432,16,10,0,0
barnv101,0,0,39,268,12,10
barnv102,0,0,110,180,23,32
barod001,6,123,0,5,0,0
barod101,1,48,4,3,1,0
baros001,18,1170,25,78,2,4
barra001,0,210,4,7,3,1
barrb103,0,0,0,0,0,0
barrb104,0,0,265,321,40,39
barrb105,0,0,1270,502,101,88
barrd101,0,0,39,160,5,8
barrf001,33,996,66,93,6,18
barrf101,102,2154,60,98,9,7
barrf104,0,0,15,44,4,3
barrg101,4,126,9,16,3,4
barrj001,43,1295,112,5,0,0
barrj002,0,280,7,3,1,0
barrj003,26,388,10,7,0,1
barrj101,252,6195,148,388,26,22
barrj102,4,123,47,0,0,4
barrj104,0,0,54,88,12,13
barrj106,0,0,1115,39,31,9
barrk001,1,83,3,7,0,0
barrk002,0,656,14,22,2,1
barrm001,864,23122,1827,2634,63,581
barrm002,0,20,0,0,0,0
barrm003,116,2929,95,194,24,18
barrr101,0,0,98,261,11,17
barrr102,5,174,15,0,1,0
barrr103,0,0,12,1,1,1
barrs103,13,251,2,17,4,2
barrt001,0,28,3,1,1,1
barrt002,18,471,45,53,3,15
barrt003,51,1364,111,3,2,1
barry001,0,20,0,1,0,0
bartb001,33,783,59,2,2,0
bartb103,0,0,0,1,0,0
bartb104,0,0,14,21,4,3
bartc001,0,117,2,0,0,1
bartd001,483,13029,4310,275,36,451
bartd101,0,0,4425,6348,512,1183
bartd102,0,0,26,1,1,0
barti101,0,0,29,35,6,8
bartj001,842,22466,1197,2368,118,470
bartj002,3,31,0,0,0,0
bartk001,104,3173,347,4,6,0
bartl101,0,0,0,6,1,1
barts001,0,195,7,13,1,2
bartt101,0,0,909,72,11,91
bartv101,0,0,197,5,5,1
barzp001,0,1,0,0,0,0
basac001,0,18,0,1,0,0
basgm101,0,0,401,404,22,101
basht001,0,96,1,1,1,0
bashw101,0,0,2,0,0,0
basie101,0,0,379,484,50,111
bassa001,18,898,36,40,2,5
bassb001,4,549,17,38,3,0
bassc001,30,574,11,16,2,1
bassd102,0,0,0,1,0,0
bassk001,1148,30997,2332,73,43,16
bassn101,34,761,11,37,4,2
bassr101,72,1815,639,48,5,64
basta001,5,1179,5,17,5,1
batcj101,0,0,1,7,1,0
batcr001,0,161,4,4,1,0
batea001,3,90,35,0,1,3
bateb001,13,399,32,50,4,13
bateb101,0,0,44,1,1,1
batec101,0,0,17,1,3,0
bated102,0,5,1,0,0,0
batej001,143,4313,295,459,17,104
batik001,2,63,7,0,0,0
batik002,157,4494,238,372,47,61
batim001,248,5869,119,272,19,17
batir101,1,77,26,1,0,1
batit001,1103,29613,1199,2578,130,411
batta001,55,1588,143,2,2,1
battc101,1,12,0,0,0,0
batth001,4,192,3,10,0,0
battj101,0,0,5,2,0,0
baueh101,746,20078,2384,107,46,20
bauej001,85,2295,584,30,5,57
bauer001,10,951,12,41,2,8
bauer101,0,0,10,120,12,6
bauet001,150,2712,58,74,5,12
baugj001,59,1603,118,172,9,26
baumb001,0,92,1,1,0,0
baumf101,141,3675,1785,62,38,13
baumf102,78,2393,33,133,7,7
baumh101,0,0,1,5,0,0
baumj101,0,0,10,11,2,2
baumj102,8,191,21,26,1,6
baumr101,84,1486,28,85,2,6
baums101,0,0,24,84,7,2
bautd001,599,16629,1311,30,22,5
bautd002,21,670,18,25,0,0
baute101,0,447,1,25,1,0
bautg001,0,13,0,0,0,0
bautj001,49,2057,64,78,5,6
bautj002,1525,40666,2577,923,85,104
bautr001,5,211,15,0,0,0
baxej101,73,1983,134,177,17,33
baxem101,86,2460,192,270,20,57
baxtm001,89,2545,212,6,3,3
bay-j001,1217,31973,2303,68,27,9
bayld001,911,24229,2716,110,58,80
baylj001,0,192,3,5,0,0
baynb101,0,0,33,139,13,8
bazay001,8,181,9,11,2,1
beacb001,48,827,16,30,0,3
bealb101,41,1168,348,29,5,29
bealw101,0,0,0,31,6,1
beamc101,4,156,41,6,0,2
beamc102,5,214,6,20,1,4
beamt001,20,663,48,3,3,0
beamt002,0,191,5,5,1,1
beanb001,73,1988,191,3,1,1
beanb002,96,3094,344,16,4,11
beanb101,0,0,7,54,2,0
beanc001,0,21,0,2,0,0
beard001,3,827,9,32,3,1
bearg101,11,299,7,20,1,1
bearg102,0,0,49,180,15,14
beark001,3,23,0,1,0,0
bearl101,7,968,27,92,5,3
bearm101,2,354,6,25,1,2
bearr101,10,174,0,8,1,1
beart101,23,727,285,12,4,0
beasc001,0,80,4,4,0,1
beasl101,8,246,10,0,2,0
beatb001,1,47,3,1,0,0
beatj001,182,3446,96,181,9,15
beatp001,0,282,3,16,0,2
