,retroID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,NL
14458,websl001,587,1450,157,368,73,2,33,176,1,3.0,140,209,5.0,12,11,4.0,53.0,1
14459,websm001,1265,3419,504,900,150,55,70,342,160,73.0,325,578,28.0,28,47,30.0,42.0,1
14460,websr101,47,77,11,15,2,1,2,11,1,0.0,6,7,0.0,0,1,1.0,2.0,0
14461,websr102,380,778,76,190,31,6,17,98,9,4.0,70,94,12.0,3,3,3.0,20.0,1
14462,wedge001,39,86,13,20,2,0,5,12,0,0.0,14,25,0.0,0,0,0.0,0.0,1
14463,weekj001,260,955,121,243,45,18,4,62,41,16.0,78,155,1.0,11,16,8.0,10.0,1
14464,weekj101,53,121,7,25,4,0,5,19,0,0.0,15,21,0.0,1,2,3.0,3.0,1
14465,weekr001,1324,4417,733,1087,219,33,161,474,132,32.0,533,1230,13.0,134,9,19.0,77.0,1
14466,wegem101,57,88,3,17,1,0,0,9,0,0.0,1,29,0.0,0,4,0.0,2.0,1
14467,wegmb001,266,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
14468,wehdb101,12,4,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
14469,wehmh101,413,633,67,124,13,3,3,40,0,0.0,16,166,0.0,2,23,3.0,10.0,1
14470,wehnj001,461,804,99,200,33,4,4,54,15,7.0,73,136,5.0,1,16,3.0,18.0,1
14471,wehrd001,76,20,2,2,1,0,0,0,0,0.0,0,8,0.0,0,3,0.0,0.0,1
14472,weigr101,106,235,12,54,9,3,0,30,2,3.0,21,26,0.0,1,2,0.0,8.0,0
14473,weikd101,78,53,6,12,2,1,0,3,0,0.0,1,16,0.0,0,3,0.0,1.0,0
14474,weilb101,277,443,21,57,6,3,3,19,1,0.0,26,167,0.0,1,32,0.0,4.0,1
14475,weilc101,50,110,10,20,0,0,0,10,0,0.0,10,22,0.0,1,8,0.0,0.0,0
14476,weile101,10,7,1,1,0,0,0,0,0,0.0,0,3,0.0,0,0,0.0,0.0,0
14477,weilk001,11,5,1,0,0,0,0,0,0,0.0,0,1,0.0,0,1,0.0,0.0,1
14478,weine101,20,39,5,9,1,0,0,1,0,0.0,4,11,0.0,0,1,0.0,0.0,0
14479,weinl101,132,142,18,37,6,0,0,12,1,1.0,7,22,0.0,0,1,0.0,0.0,1
14480,weinp101,444,1382,215,407,67,19,32,207,4,2.0,232,182,0.0,5,11,0.0,35.0,1
14481,weinr001,30,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
14482,weirr101,30,32,5,6,1,0,0,2,0,0.0,3,9,0.0,0,1,0.0,0.0,1
14483,weisa101,800,1578,195,346,45,11,7,115,55,22.0,117,299,11.0,14,45,9.0,24.0,1
14484,weisb102,128,341,39,92,14,4,2,50,6,10.0,43,44,0.0,1,7,0.0,0.0,1
14485,weisg101,22,19,4,2,0,0,0,1,0,0.0,1,4,0.0,0,0,1.0,0.0,1
14486,weisw001,1495,4686,623,1207,182,31,25,386,96,35.0,658,658,38.0,40,89,42.0,75.0,1
14487,weisz001,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
14488,welaj101,293,793,115,198,40,3,4,74,36,15.0,53,73,0.0,2,11,0.0,15.0,0
14489,welcb001,520,582,26,88,7,1,2,30,0,1.0,22,171,0.0,3,59,2.0,4.0,1
14490,welcd101,13,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
14491,welcf101,738,2310,310,634,100,31,41,295,18,28.0,250,225,0.0,20,98,0.0,0.0,0
14492,welch101,13,38,2,11,0,1,0,2,0,0.0,0,6,0.0,0,0,0.0,0.0,0
14493,welcj101,175,228,27,50,9,0,1,20,0,0.0,14,43,0.0,0,11,0.0,0.0,1
14494,welcm001,10,3,0,0,0,0,0,0,0,0.0,0,2,0.0,0,0,0.0,0.0,1
14495,welcm101,1,2,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,0.0,0
14496,welkd001,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
14497,wellb001,441,927,97,214,30,2,6,77,26,15.0,59,176,2.0,7,13,7.0,24.0,1
14498,wellb002,414,0,1,0,0,0,0,0,0,0.0,1,0,0.0,0,0,0.0,0.0,1
14499,wellb101,15,25,2,7,0,1,1,1,0,0.0,3,5,0.0,0,0,0.0,0.0,0
14500,wellc001,277,688,92,158,31,4,25,81,6,4.0,57,201,2.0,11,2,0.0,9.0,1
14501,welld001,660,178,8,23,2,0,0,5,0,0.0,3,59,0.0,1,18,0.0,1.0,1
14502,welle101,298,433,50,93,11,4,0,38,1,1.0,17,74,0.0,1,16,0.0,0.0,0
14503,wellg101,47,127,12,29,6,2,0,8,0,2.0,6,20,0.0,0,0,2.0,2.0,0
14504,wellj001,8,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
14505,wellj101,4,4,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
14506,wellk001,304,331,30,63,10,1,4,17,1,0.0,4,143,0.0,2,34,0.0,0.0,1
14507,welll101,80,189,19,36,6,1,2,15,4,4.0,16,39,0.0,0,4,0.0,4.0,0
14508,wellr001,98,146,8,25,5,0,0,6,0,0.0,5,37,0.0,0,27,0.0,4.0,1
14509,wellt001,5,7,0,0,0,0,0,0,0,0.0,0,4,0.0,0,0,0.0,0.0,1
14510,wellt002,211,140,7,19,0,0,0,6,0,0.0,2,68,0.0,0,23,1.0,1.0,1
14511,wellv001,1731,6642,930,1794,379,34,270,958,109,37.0,472,956,24.0,31,2,65.0,168.0,0
14512,welsc001,122,143,11,26,6,0,1,18,1,1.0,8,51,0.0,0,12,0.0,2.0,1
14513,welsj101,715,2684,387,778,127,47,35,288,37,19.0,156,144,0.0,47,106,0.0,0.0,1
14514,weltd101,90,27,2,2,1,0,0,0,0,0.0,3,9,0.0,0,1,0.0,0.0,0
14515,welzt101,76,80,8,12,2,0,0,6,0,0.0,16,15,0.0,0,7,0.0,0.0,0
14516,wendj001,21,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
