retroID,weight,height,debutYear,finalYear,pos_1B,pos_2B,pos_3B,pos_C,pos_OF,pos_P,pos_SS,bats_L,bats_R,throws_L,throws_R,G,AB,PA,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,NL
kellt001,0.42623,0.45,2016,2018,0,1,0,0,0,0,0,0,0,0,1,118,158,188,21,32,20,8,1,3,21,0,0,20,36,0,1,4,5,3,1
kellt002,0.54918,0.55,2019,2019,0,0,0,0,0,1,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kellt101,0.459016,0.4,1975,1975,1,0,0,0,0,0,0,1,0,1,0,49,127,147,11,23,17,5,0,1,11,0,0,15,22,0,0,2,3,3,0
kellt102,0.467213,0.45,1964,1973,0,0,0,0,0,1,0,0,1,0,1,104,116,124,4,11,11,0,0,0,4,0,0,3,61,0,0,5,0,1,1
kellv101,0.42623,0.4,1969,1970,0,1,0,0,0,0,0,1,0,0,1,111,298,327,25,66,51,10,1,4,24,0,2,27,45,2,0,2,0,3,1
kellw101,0.508197,0.45,1952,1953,0,0,0,0,0,1,0,0,1,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
kelsb101,0.569672,0.65,1964,1968,0,0,0,0,0,1,0,0,1,0,1,119,34,37,1,2,2,0,0,0,0,0,0,1,21,0,0,2,0,0,1
keltd001,0.508197,0.6,2003,2004,0,0,0,0,1,0,0,0,1,0,1,18,22,22,2,3,1,2,0,0,1,0,0,0,8,0,0,0,0,0,1
keltk101,0.467213,0.45,1937,1950,0,0,1,0,0,0,0,0,1,0,1,1526,5683,6312,737,1570,1030,308,69,163,852,39,33,514,480,0,13,102,0,144,0
kemmr101,0.5,0.55,1954,1963,0,0,0,0,0,1,0,0,1,0,1,302,265,314,13,34,29,3,0,2,16,0,0,23,113,0,0,25,1,7,1
kemnd101,0.405738,0.35,1929,1929,0,0,0,0,0,1,0,0,1,0,1,9,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
